
> backend@1.0.0 dev
> tsx server.ts

Server running on port 3000 and listening on 0.0.0.0
127.0.0.1 - - [08/Sep/2025:18:57:45 +0000] "GET /api/health HTTP/1.1" 200 54 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:57:50 +0000] "POST /api/auth/login HTTP/1.1" 200 615 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:58:16 +0000] "GET /api/reviews?limit=3&sort_by=created_at HTTP/1.1" 404 150 "https://123airbnb-but-just-for-libya.launchpulse.ai/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [08/Sep/2025:18:58:16 +0000] "GET /api/properties?limit=6&sort_by=created_at HTTP/1.1" 304 - "https://123airbnb-but-just-for-libya.launchpulse.ai/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [08/Sep/2025:18:58:17 +0000] "GET /api/reviews?limit=3&sort_by=created_at HTTP/1.1" 404 150 "https://123airbnb-but-just-for-libya.launchpulse.ai/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [08/Sep/2025:18:58:31 +0000] "GET /api/reviews?limit=3&sort_by=created_at HTTP/1.1" 404 150 "https://123airbnb-but-just-for-libya.launchpulse.ai/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [08/Sep/2025:18:58:32 +0000] "GET /api/reviews?limit=3&sort_by=created_at HTTP/1.1" 404 150 "https://123airbnb-but-just-for-libya.launchpulse.ai/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [08/Sep/2025:18:58:47 +0000] "GET /api/reviews?limit=3&sort_by=created_at HTTP/1.1" 404 150 "https://123airbnb-but-just-for-libya.launchpulse.ai/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [08/Sep/2025:18:58:49 +0000] "GET /api/reviews?limit=3&sort_by=created_at HTTP/1.1" 404 150 "https://123airbnb-but-just-for-libya.launchpulse.ai/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [08/Sep/2025:18:58:56 +0000] "POST /api/auth/login HTTP/1.1" 200 615 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:58:56 +0000] "POST /api/auth/login HTTP/1.1" 200 623 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:58:56 +0000] "POST /api/auth/login HTTP/1.1" 200 632 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:58:56 +0000] "POST /api/auth/login HTTP/1.1" 400 129 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:59:02 +0000] "POST /api/auth/login HTTP/1.1" 200 615 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:59:02 +0000] "POST /api/auth/login HTTP/1.1" 200 623 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:59:02 +0000] "POST /api/auth/login HTTP/1.1" 200 632 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:59:07 +0000] "POST /api/auth/login HTTP/1.1" 400 129 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:59:12 +0000] "POST /api/auth/login HTTP/1.1" 200 615 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:59:17 +0000] "POST /api/auth/login HTTP/1.1" 200 615 "-" "curl/7.88.1"
127.0.0.1 - - [08/Sep/2025:18:59:17 +0000] "GET /api/auth/verify HTTP/1.1" 200 170 "-" "curl/7.88.1"
